,med_scores,record_idx,f1_scores
77522,0.0,14532,1.0
77524,0.0,14533,1.0
77526,0.0,14533,1.0
77528,0.0,14533,1.0
77530,0.0,14534,1.0
77532,0.0,14534,1.0
77534,0.0,14534,1.0
77536,0.0,14535,1.0
77538,0.0,14535,1.0
77540,0.0,14535,1.0
77542,0.0,14536,1.0
77544,0.0,14536,1.0
77546,0.0,14537,1.0
77548,0.0,14537,1.0
77550,7.0,14538,0.0
77552,0.0,14538,1.0
77554,0.0,14539,1.0
77556,0.0,14540,1.0
77558,1.0,14540,0.0
77560,0.0,14540,1.0
77562,0.0,14541,1.0
77564,1.0,14542,0.0
77566,1.0,14542,0.0
77568,0.0,14542,1.0
77570,0.0,14543,1.0
77572,0.0,14543,1.0
77574,0.0,14543,1.0
77576,0.0,14544,1.0
77578,0.0,14544,1.0
77580,0.0,14544,1.0
77582,0.0,14545,1.0
77584,0.0,14545,1.0
77586,0.0,14545,1.0
77588,0.0,14546,1.0
77590,0.0,14546,1.0
77592,0.0,14546,1.0
77594,0.0,14547,1.0
77596,0.0,14548,1.0
77598,0.0,14548,1.0
77600,0.0,14548,1.0
77602,0.0,14549,1.0
77604,0.0,14549,1.0
77606,23.5,14550,0.0
77608,16.0,14550,0.0
77610,21.5,14550,0.0
77612,0.0,14551,1.0
77614,0.0,14551,1.0
77616,0.0,14551,1.0
77618,0.0,14552,1.0
77620,0.0,14552,1.0
77622,0.0,14552,1.0
77624,0.0,14553,1.0
77626,0.0,14553,1.0
77628,0.0,14554,1.0
77630,0.0,14554,1.0
77632,0.0,14554,1.0
77634,0.0,14555,1.0
77636,0.0,14555,1.0
77638,0.0,14555,1.0
77640,0.0,14556,1.0
77642,0.0,14556,1.0
77644,0.0,14557,1.0
77646,26.0,14557,0.0
77648,0.0,14558,1.0
77650,0.0,14558,1.0
77652,0.0,14559,1.0
77654,0.0,14559,1.0
77656,0.0,14560,1.0
77658,0.0,14560,1.0
77660,0.0,14561,1.0
77662,0.0,14561,1.0
77664,0.0,14561,1.0
77666,0.0,14562,1.0
77668,0.0,14562,1.0
77670,0.0,14563,1.0
77672,0.0,14563,1.0
77674,4.0,14563,0.0
77676,0.0,14564,1.0
77678,0.0,14564,1.0
77680,7.0,14564,0.0
77682,6.0,14565,0.0
77684,17.0,14565,0.0
77686,0.0,14566,1.0
77688,0.0,14566,1.0
77690,0.0,14566,1.0
77692,14.0,14567,0.0
77694,0.0,14567,1.0
77696,0.0,14567,1.0
77698,0.0,14568,1.0
77700,0.0,14568,1.0
77702,9.0,14568,0.0
77704,9.0,14568,0.0
77706,0.0,14568,1.0
77708,23.0,14569,0.0
77710,18.0,14569,0.0
77712,0.0,14570,1.0
77714,0.0,14570,1.0
77716,0.0,14570,1.0
77718,0.0,14570,1.0
77720,0.0,14570,1.0
77722,0.0,14571,1.0
77724,0.0,14571,1.0
77726,0.0,14571,1.0
77728,0.0,14572,1.0
77730,0.0,14572,1.0
77732,0.0,14572,1.0
77734,0.0,14572,1.0
77736,3.0,14573,0.0
77738,23.0,14573,0.0
77740,23.0,14573,0.0
77742,23.0,14573,0.0
77744,0.0,14574,1.0
77746,0.0,14574,1.0
77748,0.0,14574,1.0
77750,0.0,14574,1.0
77752,0.0,14574,1.0
77754,0.0,14574,1.0
77756,0.0,14575,1.0
77758,0.0,14575,1.0
77760,17.0,14576,0.0
77762,17.0,14576,0.0
77764,14.0,14576,0.0
77766,0.0,14577,1.0
77768,0.0,14577,1.0
77770,0.0,14577,1.0
77772,0.0,14578,1.0
77774,0.0,14578,1.0
77776,0.0,14578,1.0
77778,0.0,14579,1.0
77780,0.0,14580,1.0
77782,0.0,14580,1.0
77784,0.0,14581,1.0
77786,0.0,14582,1.0
77788,0.0,14582,1.0
77790,5.0,14582,0.0
77792,0.0,14583,1.0
77794,0.0,14583,1.0
77796,0.0,14584,1.0
77798,0.0,14584,1.0
77800,0.0,14585,1.0
77802,0.0,14585,1.0
77804,0.0,14586,1.0
77806,0.0,14586,1.0
77808,0.0,14586,1.0
77810,8.0,14587,0.0
77812,0.0,14588,1.0
77814,0.0,14588,1.0
77816,0.0,14589,1.0
77818,0.0,14589,1.0
77820,0.0,14589,1.0
77822,0.0,14590,1.0
77824,0.0,14590,1.0
77826,0.0,14591,1.0
77828,0.0,14591,1.0
77830,0.0,14592,1.0
77832,0.0,14592,1.0
77834,0.0,14592,1.0
77836,0.0,14593,1.0
77838,0.0,14593,1.0
77840,4.0,14593,0.0
77842,0.0,14594,1.0
77844,0.0,14594,1.0
77846,0.0,14595,1.0
77848,0.0,14595,1.0
77850,0.0,14596,1.0
77852,0.0,14596,1.0
77854,0.0,14596,1.0
77856,0.0,14597,1.0
77858,0.0,14597,1.0
77860,0.0,14598,1.0
77862,0.0,14598,1.0
77864,2.0,14598,0.0
77866,0.0,14599,1.0
77868,0.0,14599,1.0
77870,0.0,14599,1.0
77872,6.0,14600,0.0
77874,0.0,14600,1.0
77876,0.0,14601,1.0
77878,0.0,14601,1.0
77880,0.0,14601,1.0
77882,0.0,14602,1.0
